101223060913825,EURINR 23 Jun 09 83.5 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360983.5CE,10,12,13825,EURINR,25,83.5,CE,101200000025,None
101223060913826,EURINR 23 Jun 09 83.5 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360983.5PE,10,12,13826,EURINR,25,83.5,PE,101200000025,None
101223060913827,EURINR 23 Jun 09 83.75 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360983.75CE,10,12,13827,EURINR,25,83.75,CE,101200000025,None
101223060913828,EURINR 23 Jun 09 83.75 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360983.75PE,10,12,13828,EURINR,25,83.75,PE,101200000025,None
101223060913829,EURINR 23 Jun 09 84 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360984CE,10,12,13829,EURINR,25,84.0,CE,101200000025,None
101223060913830,EURINR 23 Jun 09 84 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360984PE,10,12,13830,EURINR,25,84.0,PE,101200000025,None
101223060913831,EURINR 23 Jun 09 84.25 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360984.25CE,10,12,13831,EURINR,25,84.25,CE,101200000025,None
101223060913832,EURINR 23 Jun 09 84.25 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360984.25PE,10,12,13832,EURINR,25,84.25,PE,101200000025,None
101223060913833,EURINR 23 Jun 09 84.5 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360984.5CE,10,12,13833,EURINR,25,84.5,CE,101200000025,None
101223060913834,EURINR 23 Jun 09 84.5 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360984.5PE,10,12,13834,EURINR,25,84.5,PE,101200000025,None
101223060913835,EURINR 23 Jun 09 84.75 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360984.75CE,10,12,13835,EURINR,25,84.75,CE,101200000025,None
101223060913836,EURINR 23 Jun 09 84.75 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360984.75PE,10,12,13836,EURINR,25,84.75,PE,101200000025,None
101223060913837,EURINR 23 Jun 09 85 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360985CE,10,12,13837,EURINR,25,85.0,CE,101200000025,None
101223060913838,EURINR 23 Jun 09 85 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360985PE,10,12,13838,EURINR,25,85.0,PE,101200000025,None
101223060913839,EURINR 23 Jun 09 85.25 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360985.25CE,10,12,13839,EURINR,25,85.25,CE,101200000025,None
101223060913840,EURINR 23 Jun 09 85.25 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360985.25PE,10,12,13840,EURINR,25,85.25,PE,101200000025,None
101223060913841,EURINR 23 Jun 09 85.5 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360985.5CE,10,12,13841,EURINR,25,85.5,CE,101200000025,None
101223060913842,EURINR 23 Jun 09 85.5 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360985.5PE,10,12,13842,EURINR,25,85.5,PE,101200000025,None
101223060913843,EURINR 23 Jun 09 85.75 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360985.75CE,10,12,13843,EURINR,25,85.75,CE,101200000025,None
101223060913844,EURINR 23 Jun 09 85.75 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360985.75PE,10,12,13844,EURINR,25,85.75,PE,101200000025,None
101223060913845,EURINR 23 Jun 09 86 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360986CE,10,12,13845,EURINR,25,86.0,CE,101200000025,None
101223060913846,EURINR 23 Jun 09 86 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360986PE,10,12,13846,EURINR,25,86.0,PE,101200000025,None
101223060913847,EURINR 23 Jun 09 86.25 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360986.25CE,10,12,13847,EURINR,25,86.25,CE,101200000025,None
101223060913848,EURINR 23 Jun 09 86.25 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360986.25PE,10,12,13848,EURINR,25,86.25,PE,101200000025,None
101223060913849,EURINR 23 Jun 09 86.5 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360986.5CE,10,12,13849,EURINR,25,86.5,CE,101200000025,None
101223060913925,EURINR 23 Jun 09 86.5 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360986.5PE,10,12,13925,EURINR,25,86.5,PE,101200000025,None
101223060913926,EURINR 23 Jun 09 86.75 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360986.75CE,10,12,13926,EURINR,25,86.75,CE,101200000025,None
101223060913927,EURINR 23 Jun 09 86.75 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360986.75PE,10,12,13927,EURINR,25,86.75,PE,101200000025,None
101223060913928,EURINR 23 Jun 09 87 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360987CE,10,12,13928,EURINR,25,87.0,CE,101200000025,None
101223060913951,EURINR 23 Jun 09 87 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360987PE,10,12,13951,EURINR,25,87.0,PE,101200000025,None
101223060913952,EURINR 23 Jun 09 87.25 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360987.25CE,10,12,13952,EURINR,25,87.25,CE,101200000025,None
101223060913953,EURINR 23 Jun 09 87.25 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360987.25PE,10,12,13953,EURINR,25,87.25,PE,101200000025,None
101223060913954,EURINR 23 Jun 09 87.5 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360987.5CE,10,12,13954,EURINR,25,87.5,CE,101200000025,None
101223060913996,EURINR 23 Jun 09 87.5 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360987.5PE,10,12,13996,EURINR,25,87.5,PE,101200000025,None
101223060913997,EURINR 23 Jun 09 87.75 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360987.75CE,10,12,13997,EURINR,25,87.75,CE,101200000025,None
101223060913998,EURINR 23 Jun 09 87.75 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360987.75PE,10,12,13998,EURINR,25,87.75,PE,101200000025,None
101223060913999,EURINR 23 Jun 09 88 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360988CE,10,12,13999,EURINR,25,88.0,CE,101200000025,None
101223060914000,EURINR 23 Jun 09 88 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360988PE,10,12,14000,EURINR,25,88.0,PE,101200000025,None
101223060914001,EURINR 23 Jun 09 88.25 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360988.25CE,10,12,14001,EURINR,25,88.25,CE,101200000025,None
101223060914002,EURINR 23 Jun 09 88.25 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360988.25PE,10,12,14002,EURINR,25,88.25,PE,101200000025,None
101223060914003,EURINR 23 Jun 09 88.5 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360988.5CE,10,12,14003,EURINR,25,88.5,CE,101200000025,None
101223060914004,EURINR 23 Jun 09 88.5 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360988.5PE,10,12,14004,EURINR,25,88.5,PE,101200000025,None
101223060914005,EURINR 23 Jun 09 88.75 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360988.75CE,10,12,14005,EURINR,25,88.75,CE,101200000025,None
101223060914006,EURINR 23 Jun 09 88.75 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360988.75PE,10,12,14006,EURINR,25,88.75,PE,101200000025,None
101223060914007,EURINR 23 Jun 09 89 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360989CE,10,12,14007,EURINR,25,89.0,CE,101200000025,None
101223060914008,EURINR 23 Jun 09 89 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360989PE,10,12,14008,EURINR,25,89.0,PE,101200000025,None
101223060914009,EURINR 23 Jun 09 89.25 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360989.25CE,10,12,14009,EURINR,25,89.25,CE,101200000025,None
101223060914010,EURINR 23 Jun 09 89.25 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360989.25PE,10,12,14010,EURINR,25,89.25,PE,101200000025,None
101223060914011,EURINR 23 Jun 09 89.5 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360989.5CE,10,12,14011,EURINR,25,89.5,CE,101200000025,None
101223060914012,EURINR 23 Jun 09 89.5 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360989.5PE,10,12,14012,EURINR,25,89.5,PE,101200000025,None
101223060914013,EURINR 23 Jun 09 89.75 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360989.75CE,10,12,14013,EURINR,25,89.75,CE,101200000025,None
101223060914014,EURINR 23 Jun 09 89.75 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360989.75PE,10,12,14014,EURINR,25,89.75,PE,101200000025,None
101223060914015,EURINR 23 Jun 09 90 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360990CE,10,12,14015,EURINR,25,90.0,CE,101200000025,None
101223060914016,EURINR 23 Jun 09 90 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360990PE,10,12,14016,EURINR,25,90.0,PE,101200000025,None
101223060914017,EURINR 23 Jun 09 90.25 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360990.25CE,10,12,14017,EURINR,25,90.25,CE,101200000025,None
101223060914018,EURINR 23 Jun 09 90.25 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360990.25PE,10,12,14018,EURINR,25,90.25,PE,101200000025,None
101223060914019,EURINR 23 Jun 09 90.5 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360990.5CE,10,12,14019,EURINR,25,90.5,CE,101200000025,None
101223060914020,EURINR 23 Jun 09 90.5 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360990.5PE,10,12,14020,EURINR,25,90.5,PE,101200000025,None
101223060914021,EURINR 23 Jun 09 90.75 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360990.75CE,10,12,14021,EURINR,25,90.75,CE,101200000025,None
101223060914022,EURINR 23 Jun 09 90.75 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360990.75PE,10,12,14022,EURINR,25,90.75,PE,101200000025,None
101223060914023,EURINR 23 Jun 09 91 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360991CE,10,12,14023,EURINR,25,91.0,CE,101200000025,None
101223060914024,EURINR 23 Jun 09 91 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360991PE,10,12,14024,EURINR,25,91.0,PE,101200000025,None
101223060914025,EURINR 23 Jun 09 91.25 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360991.25CE,10,12,14025,EURINR,25,91.25,CE,101200000025,None
101223060914026,EURINR 23 Jun 09 91.25 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360991.25PE,10,12,14026,EURINR,25,91.25,PE,101200000025,None
101223060914027,EURINR 23 Jun 09 91.5 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360991.5CE,10,12,14027,EURINR,25,91.5,CE,101200000025,None
101223060914028,EURINR 23 Jun 09 91.5 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360991.5PE,10,12,14028,EURINR,25,91.5,PE,101200000025,None
101223060914029,EURINR 23 Jun 09 91.75 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360991.75CE,10,12,14029,EURINR,25,91.75,CE,101200000025,None
101223060914030,EURINR 23 Jun 09 91.75 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360991.75PE,10,12,14030,EURINR,25,91.75,PE,101200000025,None
101223060914031,EURINR 23 Jun 09 92 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360992CE,10,12,14031,EURINR,25,92.0,CE,101200000025,None
101223060914032,EURINR 23 Jun 09 92 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360992PE,10,12,14032,EURINR,25,92.0,PE,101200000025,None
101223060914033,EURINR 23 Jun 09 92.25 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360992.25CE,10,12,14033,EURINR,25,92.25,CE,101200000025,None
101223060914034,EURINR 23 Jun 09 92.25 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360992.25PE,10,12,14034,EURINR,25,92.25,PE,101200000025,None
101223060914035,EURINR 23 Jun 09 92.5 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360992.5CE,10,12,14035,EURINR,25,92.5,CE,101200000025,None
101223060914036,EURINR 23 Jun 09 92.5 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360992.5PE,10,12,14036,EURINR,25,92.5,PE,101200000025,None
101223060914037,EURINR 23 Jun 09 92.75 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360992.75CE,10,12,14037,EURINR,25,92.75,CE,101200000025,None
101223060914038,EURINR 23 Jun 09 92.75 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360992.75PE,10,12,14038,EURINR,25,92.75,PE,101200000025,None
101223060914039,EURINR 23 Jun 09 93 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360993CE,10,12,14039,EURINR,25,93.0,CE,101200000025,None
101223060914040,EURINR 23 Jun 09 93 PE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360993PE,10,12,14040,EURINR,25,93.0,PE,101200000025,None
101223060914041,EURINR 23 Jun 09 93.25 CE,19,1,0.0025,,0900-1700|1815-1915:,2023-06-05,1686321000,NSE:EURINR2360993.25CE,10,12,14041,EURINR,25,93.25,CE,101200000025,None
